Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,06/07/2024,320 x 50,7,0,"0,06 ","0,036","R$8,70 ","85,71%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,06/07/2024,728 x 90,28,0,"0,24 ","0,144","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,07/07/2024,320 x 50,27,0,"0,23 ","0,138","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,07/07/2024,728 x 90,16,0,"0,14 ","0,084","R$8,70 ","93,75%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,08/07/2024,320 x 50,8,0,"0,07 ","0,042","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,08/07/2024,728 x 90,72,0,"0,63 ","0,378","R$8,70 ","88,89%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,01/07/2024,300 x 250,73,1,"0,64 ","0,384","R$8,70 ","75,34%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,02/07/2024,300 x 250,23,0,"0,20 ","0,12","R$8,70 ","47,83%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,03/07/2024,300 x 250,20,0,"0,17 ","0,102","R$8,70 ","50,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,04/07/2024,300 x 250,31,0,"0,27 ","0,162","R$8,70 ","74,19%"
