Advertiser,Ad unit,Date,Creative size,Advertiser ID,Ad unit ID,Total impressions,Total clicks,Total CPM and CPC revenue (R$),Total average eCPM (R$),Total Active View % viewable impressions
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/2/2024,970 x 90,4597768744,",10869286,11238766,21737767482,23201951482,",2,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/2/2024,Native,4597768744,",10869286,11238766,21737767482,23201951482,",9,0,"R$0,00 ","R$0,00 ","33,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/1/2024,300 x 100,4597768744,",10869286,11238766,21737767482,23201951482,23202852290,",2,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/1/2024,320 x 100,4597768744,",10869286,11238766,21737767482,23201951482,23202852290,",28,0,"R$0,00 ","R$0,00 ","82,14%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/1/2024,320 x 50,4597768744,",10869286,11238766,21737767482,23201951482,23202852290,",14,0,"R$0,00 ","R$0,00 ","78,57%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/1/2024,728 x 90,4597768744,",10869286,11238766,21737767482,23201951482,23202852290,",142,0,"R$0,00 ","R$0,00 ","39,44%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/1/2024,970 x 90,4597768744,",10869286,11238766,21737767482,23201951482,23202852290,",86,0,"R$0,00 ","R$0,00 ","26,74%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/1/2024,Native,4597768744,",10869286,11238766,21737767482,23201951482,23202852290,",4,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/2/2024,320 x 100,4597768744,",10869286,11238766,21737767482,23201951482,23202852290,",9,0,"R$0,00 ","R$0,00 ","88,89%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/2/2024,320 x 50,4597768744,",10869286,11238766,21737767482,23201951482,23202852290,",9,0,"R$0,00 ","R$0,00 ","88,89%"
