Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
BRASKEM S.A  / 0035-10,Rádio Jornal,21/02/2024,300 x 250,167,0,"R$1,10 ","0,66",,"R$6,61 ","57,23%"
BRASKEM S.A  / 0035-10,Rádio Jornal,21/02/2024,970 x 250,5,0,"R$0,03 ","0,018",,"R$6,61 ","60,00%"
BRASKEM S.A  / 0035-10,TV Jornal,21/02/2024,300 x 250,176,0,"R$1,16 ","0,696",,"R$6,61 ","63,64%"
BRASKEM S.A  / 0035-10,TV Jornal,21/02/2024,970 x 250,1,0,"R$0,01 ","0,006",,"R$6,61 ","100,00%"
Banco do Brasil/0001-91,Portal NE10,21/02/2024,480 x 360v,6,0,"R$0,30 ","0,18",,"R$49,20 ","100,00%"
Banco do Brasil/0001-91,Interior,21/02/2024,480 x 360v,2,0,"R$0,10 ","0,06",,"R$49,20 ","50,00%"
Banco do Brasil/0001-91,Jamildo,21/02/2024,480 x 360v,3247,27,"R$159,75 ","95,85",,"R$49,20 ","87,46%"
Banco do Brasil/0001-91,Social 1,21/02/2024,480 x 360v,11929,57,"R$586,91 ","352,146",,"R$49,20 ","93,22%"
Banco do Brasil/0001-91,Blog do Torcedor,21/02/2024,480 x 360v,764,7,"R$37,59 ","22,554",,"R$49,20 ","85,56%"
Banco do Brasil/0001-91,JC Online,21/02/2024,480 x 360v,1154,6,"R$56,78 ","34,068",,"R$49,20 ","90,47%"
Banco do Brasil/0001-91,TV Jornal,21/02/2024,480 x 360v,93,3,"R$4,58 ","2,748",,"R$49,20 ","92,22%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,300 x 250,3778,10,"R$0,00 ","0,0",,"R$0,00 ","60,46%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,300 x 600,12,0,"R$0,00 ","0,0",,"R$0,00 ","75,00%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,320 x 50,3737,9,"R$0,00 ","0,0",,"R$0,00 ","76,94%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,728 x 90,313,1,"R$0,00 ","0,0",,"R$0,00 ","62,94%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,970 x 250,111,0,"R$0,00 ","0,0",,"R$0,00 ","67,57%"
